Index,Name,Sentance,nextIndex,GuideAnimation,ObjAnimation,,
0,里長,你好呀!年輕人,1,10001,10001,,
1,里長,聽說你回到故鄉種竹筍啦?,2,10001,10001,,
2,里長,真不錯!最近發生了特殊現象,3,10001,10001,,
3,里長,竹筍都變得很有特色跟故事呢!,4,10001,10001,,
4,里長,既然見面就是緣分,5,10001,10001,,
5,里長,那我來教妳一些種竹筍的方法吧!,6,10001,10001,,
6,里長,首先! 打開 【布】,7,2,5,布打開互動,
7,里長,在布打開後得趕緊幫竹筍澆水施肥,8,1,10001,,
8,里長,喔!你看，有竹筍渴了,9,10001,0,出現water圖,
9,里長,這時後，按下【盒子上對應位置】的竹筍,10,10001,1,跑條，跑條結束/澆到水觸發對話,
10,里長,這樣就可以幫他澆水囉!,11,10001,10001,,
11,里長,再來，竹筍需要施肥,12,10001,2,出現施肥圖,
12,里長,這次也一樣，按下【盒子上對應位置】的竹筍,13,10001,3,跑條，跑條結束/澆到水觸發對話,
13,里長,,14,10001,10001,,
14,里長,很好! 澆水施肥都結束了,15,0,10001,,
15,里長,不過現在是練習,16,10001,10001,,
16,里長,待會種筍時，會有時間限制,17,10001,10001,,
17,里長,時間到圖片會消失,18,10001,10001,,
18,里長,竹筍可是不會等你的喔!,19,10001,10001,,
19,里長,接下來最重要的是什麼你知道嗎?,20,10001,10001,,
20,里長,沒錯!,21,10001,10001,,
21,里長,要在太陽出來前，好好的把布蓋上!,22,3,10001,,
22,里長,不蓋布的話，先前的努力都白費了,23,10001,10001,,
23,里長,竹筍會全部苦掉壞掉喔!,24,10001,10001,,
24,里長,這邊的時鐘結束前趕緊把【布】蓋上吧!,25,6,6,換日UI,
25,里長,打開【布】看看今天竹筍長的如何吧!,26,10001,5,布打開互動,
26,里長,嗯~ 每天都會種出六個竹筍喔!,27,10001,10001,,
27,里長,嗯?你說竹筍怎麼長問號嗎?,28,10001,10001,,
28,里長,這叫保留神秘感~,29,10001,10001,,
29,里長,等你開始種竹筍，就會遇到各式各樣的筍了!,30,10001,10001,,
30,里長,至於種出什麼就看你前一天的表現了!,31,10001,10001,,
31,里長,現在趕快按下【盒子上對應位置】採竹筍吧!,32,10001,4,竹筍採收，結束後觸發對話,
32,里長,採完竹筍後，再把【布】蓋上喔!,33,10001,7,換分級場背景,
33,里長,採完竹筍後，這裡是分級場,34,10001,10001,,
34,里長,我們要在這裡幫竹筍歸類等級,35,10001,10001,,
35,里長,看到你右手邊的書了嗎?,36,7,10001,,
36,里長,打開他，在箱子上的左右按鍵可以翻書,37,10001,10001,,
37,里長,找找你的竹筍是哪一級，然後按下對應按鈕吧!,38,8,10001,,
38,里長,喔對!記得要把書關好，才可以分級喔!,39,10001,8,換報價單場景,
39,里長,最後!分級結束，就來看看今天的成果吧,40,10001,10001,,
40,里長,這是報價單，上面有你今天的採收狀況,41,4,10001,,
41,里長,看完後，要記得按右箭頭簽名喔!,42,5,9,遊戲開始!,
42,里長,看完後，要記得按右箭頭簽名喔!,10001,10001,10001,遊戲開始!,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,0=null(dark)
,,,,,,,1=focusWater/Spread
,,,,,,,2=focusClothes
,,,,,,,3=focusClock
,,,,,,,4=focusSettlement
,,,,,,,5=focusStampSite
,,,,,,,6=none(light)
,,,,,,,7=focusBookUI;
,,,,,,,8=focusBox
